district,sub_district,area_sqft,bhk,property_type,furnishing,price
Gurugram,Sector 27,1200,3,Apartment,Fully Furnished,10200000
Gurugram,South City I,1300,3,Apartment,Fully Furnished,11500000
Gurugram,South City II,1400,4,Apartment,Fully Furnished,12800000
Gurugram,Ardee City,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,Sector 70,1000,2,Apartment,Semi-Furnished,8800000
Gurugram,Sector 71,1150,3,Apartment,Semi-Furnished,9500000
Gurugram,Sector 72,1200,3,Apartment,Fully Furnished,10200000
Gurugram,Sector 73,950,2,Apartment,Unfurnished,8200000
Gurugram,Sector 74,1300,3,Apartment,Semi-Furnished,10800000
Gurugram,Sector 75,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,Sector 76,1000,2,Apartment,Semi-Furnished,8500000
Gurugram,Sector 77,1250,3,Apartment,Fully Furnished,10500000
Gurugram,Sector 78,1150,3,Apartment,Semi-Furnished,9800000
Gurugram,Sector 79,1000,2,Apartment,Semi-Furnished,8800000
Gurugram,Sector 80,1300,3,Apartment,Fully Furnished,11200000
Gurugram,Sector 81,1100,2,Apartment,Semi-Furnished,9500000
Gurugram,Sector 82,1200,3,Apartment,Semi-Furnished,10200000
Gurugram,Sector 83,950,2,Apartment,Unfurnished,8200000
Gurugram,Sector 84,1400,4,Apartment,Fully Furnished,12500000
Gurugram,New Gurgaon,1300,3,Villa,Semi-Furnished,11800000
Gurugram,Manesar,1500,4,Independent House,Semi-Furnished,12200000
Gurugram,IMT Manesar,1200,3,Apartment,Semi-Furnished,9800000
Gurugram,Sector 85,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,Sector 86,1000,2,Apartment,Semi-Furnished,8800000
Gurugram,Sector 87,1250,3,Apartment,Fully Furnished,10500000
Gurugram,Sector 88,1150,3,Apartment,Semi-Furnished,9800000
Gurugram,Sector 89,1300,3,Apartment,Semi-Furnished,10800000
Gurugram,Sector 90,1000,2,Apartment,Semi-Furnished,8500000
Gurugram,Sector 91,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,Sector 92,1200,3,Apartment,Fully Furnished,10200000
Gurugram,Sector 93,950,2,Apartment,Unfurnished,8200000
Gurugram,Sector 94,1400,4,Villa,Semi-Furnished,12800000
Gurugram,Sector 95,1300,3,Apartment,Fully Furnished,11200000
Gurugram,Sector 96,1100,2,Apartment,Semi-Furnished,9500000
Gurugram,Sector 97,1000,2,Apartment,Semi-Furnished,8800000
Gurugram,Sector 98,1250,3,Apartment,Semi-Furnished,10500000
Gurugram,Sector 99,1150,3,Apartment,Fully Furnished,9800000
Gurugram,Sector 100,1200,3,Apartment,Semi-Furnished,10200000
Gurugram,Sector 101,1000,2,Apartment,Semi-Furnished,8500000
Gurugram,Sector 102,1300,3,Apartment,Fully Furnished,11200000
Gurugram,Sector 103,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,Sector 104,950,2,Apartment,Unfurnished,8200000
Gurugram,Sector 105,1400,4,Apartment,Fully Furnished,12500000
Gurugram,Sector 106,1200,3,Apartment,Semi-Furnished,10200000
Gurugram,Sector 107,1100,2,Apartment,Semi-Furnished,9500000
Gurugram,Sector 108,1000,2,Apartment,Semi-Furnished,8800000
Gurugram,Sector 109,1250,3,Apartment,Fully Furnished,10500000
Gurugram,Sector 110,1300,3,Apartment,Semi-Furnished,10800000
Gurugram,Sector 111,1150,3,Apartment,Semi-Furnished,9800000
Gurugram,Sector 112,1200,3,Apartment,Fully Furnished,10200000
Gurugram,Sector 113,1000,2,Apartment,Semi-Furnished,8500000
Gurugram,Sector 114,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,DLF City,1600,4,Villa,Fully Furnished,16500000
Gurugram,Heritage City,1400,3,Apartment,Fully Furnished,12200000
Gurugram,Palm Hills,1300,3,Villa,Semi-Furnished,11800000
Gurugram,Ridgewood Estate,1500,4,Villa,Fully Furnished,14500000
Gurugram,Emerald Hills,1200,3,Apartment,Semi-Furnished,10500000
Gurugram,Greenwood City,1100,2,Apartment,Semi-Furnished,9200000
Gurugram,Uppal Southend,1300,3,Apartment,Fully Furnished,11200000
Gurugram,Vatika City,1250,3,Apartment,Semi-Furnished,10500000
Gurugram,Tulip Orange,1150,2,Apartment,Fully Furnished,9800000
Gurugram,Tulip Purple,1200,3,Apartment,Semi-Furnished,10200000
Gurugram,Tulip White,1100,2,Apartment,Semi-Furnished,9500000
Gurugram,Orchid Petals,1000,2,Apartment,Semi-Furnished,8800000
Gurugram,Orchid Island,1300,3,Apartment,Fully Furnished,11200000
