district,sub_district,area_sqft,bhk,property_type,furnishing,price
East Delhi,Shahdara,700,1,Apartment,Semi-Furnished,7800000
East Delhi,Gandhi Nagar,850,2,Apartment,Unfurnished,9200000
East Delhi,Vivek Vihar,950,2,Apartment,Semi-Furnished,10800000
East Delhi,Nirman Vihar,1000,2,Apartment,Semi-Furnished,11500000
East Delhi,Anand Vihar,1100,3,Apartment,Fully Furnished,13200000
Central Delhi,Darya Ganj,750,1,Apartment,Semi-Furnished,8500000
Central Delhi,Kashmere Gate,900,2,Apartment,Unfurnished,10200000
Central Delhi,Chandni Chowk,650,1,Studio,Semi-Furnished,7500000
Central Delhi,Jama Masjid,600,1,Apartment,Unfurnished,6800000
Central Delhi,Red Fort Area,800,1,Apartment,Semi-Furnished,9200000
South Delhi,Nehru Place,1000,2,Apartment,Semi-Furnished,12200000
South Delhi,Okhla,900,2,Apartment,Unfurnished,10500000
South Delhi,Khanpur,850,2,Apartment,Semi-Furnished,9800000
South Delhi,Tughlakabad,1200,3,Independent House,Semi-Furnished,13500000
South Delhi,Badarpur,1000,2,Independent House,Unfurnished,11200000
New Delhi,Chanakyapuri,1800,4,Apartment,Fully Furnished,42000000
New Delhi,Diplomatic Enclave,2200,5,Villa,Fully Furnished,65000000
New Delhi,Shanti Path,1600,3,Apartment,Fully Furnished,38000000
New Delhi,Prithviraj Road,1400,3,Apartment,Semi-Furnished,28500000
New Delhi,Akbar Road,1500,3,Apartment,Fully Furnished,32000000
North Delhi,Kohat Enclave,1100,3,Apartment,Semi-Furnished,12800000
North Delhi,Wazirabad,850,2,Apartment,Unfurnished,9500000
North Delhi,Burari,1000,2,Independent House,Semi-Furnished,10800000
North Delhi,Narela,1200,3,Independent House,Unfurnished,11500000
North Delhi,Alipur,1300,3,Villa,Semi-Furnished,13800000
West Delhi,Dwarka,1400,3,Apartment,Semi-Furnished,15200000
West Delhi,Dwarka Mor,1100,2,Apartment,Unfurnished,12500000
West Delhi,Palam,1000,2,Apartment,Semi-Furnished,11800000
West Delhi,Mahipalpur,900,2,Apartment,Semi-Furnished,10500000
West Delhi,Vasant Vihar,1600,4,Villa,Fully Furnished,25000000
East Delhi,IP Extension,800,2,Apartment,Semi-Furnished,9200000
East Delhi,Patparganj Industrial Area,950,2,Apartment,Unfurnished,10800000
East Delhi,Kondli,850,2,Independent House,Semi-Furnished,9500000
East Delhi,Mandawali,900,2,Apartment,Semi-Furnished,10200000
East Delhi,Fazalpur,1000,2,Independent House,Unfurnished,11200000
Central Delhi,Sadar Bazaar,700,1,Apartment,Semi-Furnished,8200000
Central Delhi,Railway Station Area,650,1,Studio,Unfurnished,7200000
Central Delhi,Ajmeri Gate,750,1,Apartment,Semi-Furnished,8800000
Central Delhi,New Delhi Railway Station,800,1,Apartment,Unfurnished,9200000
Central Delhi,Gole Market,950,2,Apartment,Semi-Furnished,11500000
South Delhi,Friends Colony,1200,3,Apartment,Fully Furnished,15500000
South Delhi,Mathura Road,1000,2,Apartment,Semi-Furnished,12200000
South Delhi,Jangpura,900,2,Apartment,Semi-Furnished,11200000
South Delhi,Ashram,850,2,Apartment,Unfurnished,9800000
South Delhi,INA Colony,1100,3,Apartment,Semi-Furnished,13500000
New Delhi,Teen Murti,1400,3,Apartment,Fully Furnished,28000000
New Delhi,Race Course Road,2500,5,Villa,Fully Furnished,75000000
New Delhi,Safdarjung Road,1300,3,Apartment,Semi-Furnished,25000000
New Delhi,Aurangzeb Road,1600,4,Apartment,Fully Furnished,38000000
New Delhi,APJ Abdul Kalam Road,1500,3,Apartment,Fully Furnished,32000000
North Delhi,Timarpur,800,2,Apartment,Semi-Furnished,9200000
North Delhi,Majnu Ka Tilla,750,1,Apartment,Unfurnished,8500000
North Delhi,Kashmiri Gate,850,2,Apartment,Semi-Furnished,9800000
North Delhi,Nicholson Cemetery,900,2,Apartment,Semi-Furnished,10500000
North Delhi,Sabzi Mandi,700,1,Apartment,Unfurnished,7800000
North Delhi,Rohini,800,4,Apartment,Fully Furnished,49050000
West Delhi,Moti Nagar,950,2,Apartment,Semi-Furnished,11200000
West Delhi,Ramesh Nagar,1000,2,Apartment,Unfurnished,11800000
West Delhi,Kishan Ganj,850,2,Apartment,Semi-Furnished,9800000
West Delhi,Hari Nagar,1100,3,Apartment,Semi-Furnished,12800000
West Delhi,Tagore Garden,1200,3,Apartment,Fully Furnished,14500000
